ticket_id,status,latency,revisions,confidence,improved,drafts,critic_history
TCK-011,Auto-Resolved,0.03,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-012,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-013,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-014,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-015,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-016,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-017,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-018,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-019,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-020,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-021,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-022,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-023,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-024,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-025,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-026,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-027,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-028,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-029,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-030,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-031,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-032,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-033,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-034,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-035,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-036,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-037,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-038,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-039,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-040,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-041,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-042,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-043,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-044,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-045,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-046,Auto-Resolved,0.01,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-047,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-048,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
TCK-049,Auto-Resolved,0.02,0,0.9,False,['I understand your concern. Your refund was processed and will arrive in 7-10 days. Please wait 2-3 more days.'],"[{'scores': {'factual_accuracy': True, 'tone': True, 'completeness': True}, 'feedback': ''}]"
